unamplified voltage [volt],Temperature [Kelvin]
0,313
0.000002,323
0.000006,333
0.000011,343
0.000017,353
0.000025,363
0.000033,373
0.000043,383
0.000053,393
0.000065,403
0.000078,413
0.000092,423
0.000107,433
0.000123,443
0.000141,453
0.000159,463
0.000178,473
0.000199,483
0.00022,493
0.000243,503
0.000267,513
0.000291,523
0.000317,533
0.000344,543
0.000372,553
0.000401,563
0.000431,573
0.000462,583
0.000494,593
0.000527,603
0.000561,613
0.000596,623
0.000632,633
0.000669,643
0.000707,653
0.000746,663
0.000787,673
0.000828,683
0.00087,693
0.000913,703
0.000957,713
0.001002,723
0.001048,733
0.001095,743
0.001143,753
0.001192,763
0.001242,773
0.001293,783
0.001344,793
0.001397,803
0.001451,813
0.001505,823
0.001561,833
0.001617,843
0.001675,853
0.001733,863
0.001792,873
0.001852,883
0.001913,893
0.001975,903
0.002037,913
0.002101,923
0.002165,933
0.00223,943
0.002296,953
0.002363,963
0.002431,973
0.002499,983
0.002569,993
0.002639,1003
0.00271,1013
0.002782,1023
0.002854,1033
0.002928,1043
0.003002,1053
0.003078,1063
0.003154,1073
0.00323,1083
0.003308,1093
0.003386,1103
0.003466,1113
0.003546,1123
0.003626,1133
0.003708,1143
0.00379,1153
0.003873,1163
0.003957,1173
0.004041,1183
0.004127,1193
0.004213,1203
0.004299,1213
0.004387,1223
0.004475,1233
0.004564,1243
0.004653,1253
0.004743,1263
0.004834,1273
0.004926,1283
0.005018,1293
0.005111,1303
0.005205,1313
0.005299,1323
0.005394,1333
0.005489,1343
0.005585,1353
0.005682,1363
0.00578,1373
0.005878,1383
0.005976,1393
0.006075,1403
0.006175,1413
0.006276,1423
0.006377,1433
0.006478,1443
0.00658,1453
0.006683,1463
0.006786,1473
0.00689,1483
0.006995,1493
0.0071,1503
0.007205,1513
0.007311,1523
0.007417,1533
0.007524,1543
0.007632,1553
0.00774,1563
0.007848,1573
0.007957,1583
0.008066,1593
0.008176,1603
0.008286,1613
0.008397,1623
0.008508,1633
0.00862,1643
0.008731,1653
0.008844,1663
0.008956,1673
0.009069,1683
0.009182,1693
0.009296,1703
0.00941,1713
0.009524,1723
0.009639,1733
0.009753,1743
0.009868,1753
0.009984,1763
0.010099,1773
0.010215,1783
0.010331,1793
0.010447,1803
0.010563,1813
0.010679,1823
0.010796,1833
0.010913,1843
0.011029,1853
0.011146,1863
0.011263,1873
0.01138,1883
0.011497,1893
0.011614,1903
0.011731,1913
0.011848,1923
0.011965,1933
0.012082,1943
0.012199,1953
0.012316,1963
0.012433,1973
0.012549,1983
0.012666,1993
0.012782,2003
0.012898,2013
0.013014,2023
0.01313,2033
0.013246,2043
0.013361,2053
0.013476,2063
0.013591,2073
0.013706,2083
